对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]1参数4	[触发条件]1参数5	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]2参数4	[触发条件]2参数5	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	[触发条件]3参数4	[触发条件]3参数5	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]4参数3	[触发条件]4参数4	[触发条件]4参数5	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	[触发条件]5参数3	[触发条件]5参数4	[触发条件]5参数5	[触发条件]6类型	[触发条件]6参数1	[触发条件]6参数2	[触发条件]6参数3	[触发条件]6参数4	[触发条件]6参数5	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]1参数4	[完成执行]1参数5	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]2参数4	[完成执行]2参数5	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	[完成执行]3参数4	[完成执行]3参数5	[完成执行]4类型	[完成执行]4参数1	[完成执行]4参数2	[完成执行]4参数3	[完成执行]4参数4	[完成执行]4参数5	[完成执行]5类型	[完成执行]5参数1	[完成执行]5参数2	[完成执行]5参数3	[完成执行]5参数4	[完成执行]5参数5
6414103		1																																						1		641410301		4141																																	
6414104		1																																						1		641410401		4141																																	
6414201	2	1																																						3	6414202,6414203,6414204	641420101		4142																																	
6414202		1																																						1		641420201		4142																																	
6414203		1																																						1		641420301		4142																																	
6414204		1																																						1		641420401		4142																																	
6414301	2	1																																						3	6414302,6414303	641430101		4143																																	
6414302		1																																						1		641430201		4143																																	
6414303		1																																						1		641430301		4143																																	
6414401	2	1																																						3	6414402,6414403	641440101		4144																																	
6414402		1																																						1		641440201		4144																																	
6414403		1																																						1		641440301		4144																																	
6414501	2	1																																						3	6414502,6414503	641450101		4145																																	
6414502		1																																						1		641450201		4145																																	
6414503		1																																						1		641450301		4145																																	
6414601	2	1																																						3	6414602,6414603	641460101		4146																																	
6414602		1																																						1		641460201		4146																																	
6414603		1																																						1		641460301		4146																																	
6414701	2	1																																						3	6414702,6414703,6414704	641470101		4147																																	
6414702		1																																						1		641470201		4147																																	
6414703		1																																						1	6414705	641470301		4147																																	
6414704		1																																						1		641470401		4147																																	
6414705		1																																						1		641470501		4147																																	
6414801	2	1																																						3	6414802,6414803	641480101		4148																																	
6414802		1																																						1		641480201		4148																																	
6414803		1																																						1		641480301		4148																																	
6414901	2	1																																						3	6414902,6414903	641490101		4149																																	
6414902		1																																						1		641490201		4149																																	
6414903		1																																						1		641490301		4149																																	
6415001	2	1																																						3	6415002,6415003	641500101		4150																																	
6415002		1																																						1		641500201		4150																																	
6415003		1																																						1		641500301		4150																																	
6415101	2	1																																						3	6415102,6415103	641510101		4151																																	
6415102		1																																						1		641510201		4151																																	
6415103		1																																						1		641510301		4151																																	
6415201	2	1																																						3	6415202,6415203	641520101		4152																																	
6415202		1																																						1		641520201		4152																																	
6415203		1																																						1		641520301		4152																																	
6415301	2	1																																						3	6415302,6415303	641530101		4153																																	
6415302		1																																						1		641530201		4153																																	
6415303		1																																						1		641530301		4153																																	
6415401	2	1																																						3	6415402,6415403,6415404	641540101		4154																																	
6415402		1																																						1		641540201		4154																																	
6415403		1																																						1	7391301	641540301		4154																																	
6415404		1																																						1		641540401		4154																																	
6415501	2	1																																						3	6415502,6415505,6415503,6415504	641550101		4155																																	
6415502		1		44	300011	0																																		1		641550201		4155																																	
6415503		1																																						1		641550301		4155																																	
6415504		1																																						1		641550401		4155																																	
6415505		1		44	300011	1																																		1		641550501		4155																																	
6415601	2	1																																						3	6415602,6415603	641560101		4156																																	
6415602		1																																						1		641560201		4156																																	
6415603		1																																						1		641560301		4156																																	
6415701	2	1																																						3	6415702,6415705,6415703	641570101		4157																																	
6415702		1		44	302821	0																																		1	6415704	641570201		4157																																	
6415703		1																																						1		641570301		4157																																	
6415704		1		44	302821	0																																		1		641570401		4157																																	
6415705		1		44	302821	1																																		1	6415706	641570501		4157																																	
6415706		1		44	302821	1																																		1		641570601		4157																																	
6415801	2	1																																						3	6415802,6415803	641580101		4158																																	
6415802		1																																						1	6415804,6415805	641580201		4158																																	
6415803		1																																						1		641580301		4158																																	
6415804		1		44	302821	0																																		1		641580401		4158																																	
6415805		1		44	302821	1																																		1		641580501		4158																																	
6415901	2	1																																						3	6415902,6415903,6415904	641590101		4159																																	
6415902		1																																						1		641590201		4159																																	
6415903		1																																						1		641590301		4159																																	
6415904		1																																						1		641590401		4159																																	
6416001	2	1																																						3	6416002,6416003,6416004	641600101		4160																																	
6416002		1																																						1	7391401	641600201		4160																																	
6416003		1																																						1		641600301		4160																																	
6416004		1																																						1		641600401		4160																																	
6416101	2	1																																						3		641610101		4161,4162																																	
6416301	2	1																																						3	6416302,6416303	641630101		4163																																	
6416302		1																																						1		641630201		4163																																	
6416303		1																																						1		641630301		4163																																	
6416401	2	1																																						3	7365501,6416402,6416403	641640101		4164																																	
6416402		1																																						1	6416404	641640201		4164																																	
6416403		1																																						1		641640301		4164																																	
6416404		1																																						1		641640401		4164																																	
6416501	2	1																																						3	6416502,6416503,6416504	641650101		4165																																	
6416502		1																																						1		641650201		4165																																	
6416503		1																																						1	7391501	641650301		4165																																	
6416504		1																																						1		641650401		4165																																	
6416601	2	1																																						3	6416602,6416603	641660101		4166																																	
6416602		1																																						1	6416604,6416605	641660201		4166																																	
6416603		1																																						1		641660301		4166																																	
6416604		1		44	302821	0																																		1	7391601	641660401		4166																																	
6416605		1		44	302821	1																																		1	7391601	641660501		4166																																	
6416701	2	1																																						3	6416702,6416703,6416704	641670101		4167																																	
6416702		1																																						1		641670201		4167																																	
6416703		1																																						1		641670301		4167																																	
6416704		1																																						1		641670401		4167																																	
6416801	2	1																																						3	6416802,6416803	641680101		4168																																	
6416802		1																																						1	6416804	641680201		4168																																	
6416803		1																																						1		641680301		4168																																	
6416804		1																																						1		641680401		4168																																	
6416901	2	1																																						3	6416902,6416903	641690101		4169																																	
6416902		1																																						1		641690201		4169																																	
6416903		1																																						1		641690301		4169																																	
6417001	2	1																																						3	6417002,6417003	641700101		4170																																	
6417002		1																																						1	7391701	641700201		4170																																	
6417003		1																																						1		641700301		4170																																	
6417101	2	1		44	302821	0																																		3	6417102,6417103,6417104	641710101		4171																																	
6417102		1																																						1	7391801	641710201		4171																																	
6417103		1		44	302821	0																																		1		641710301		4171																																	
6417104		1																																						1		641710401		4171																																	
6417105	2	1		44	302821	1																																		3	6417102,6417106,6417104	641710501		4171																																	
6417106		1		44	302821	1																																		1		641710601		4171																																	
6417201	2																																							1		641720101		4172,4173																																	
6417401	2	1																																						1		641740101		4174,4175																																	
6417601	2	1																																						3	6417602,6417603,6417604,6417605	641760101		4176																																	
6417602		1		44	70661	1																																		1		641760201		4176																																	
6417603		1																																						1		641760301		4176																																	
6417604		1																																						1		641760401		4176																																	
6417605		1																																						1		641760501		4176																																	
6417801	2	1																																						3	6417802,6417803	641780101		4178																																	
6417802		1																																						1	6417804	641780201		4178																																	
6417803		1																																						1		641780301		4178																																	
6417804		1																																						1		641780401		4178																																	
6418101	2	1																																						3	6418102,6418103	641810101		4181																																	
6418102		1																																						1	6418104	641810201		4181																																	
6418103		1																																						1		641810301		4181																																	
6418104		1																																						1		641810401		4181																																	
6418401	2	1																																						3	6418402,6418407,6418403,6418404,6418405,6418406	641840101		4184																																	
6418402		1		44	302821	0																																		1		641840201		4184																																	
6418403		1																																						1		641840301		4184																																	
6418404		1																																						1		641840401		4184																																	
6418405		1																																						1		641840501		4184																																	
6418406		1																																						1		641840601		4184																																	
6418407		1		44	302821	1																																		1		641840701		4184																																	
6418501	2	1																																						3	6418502,6418503,6418504	641850101		4185																																	
6418502		1																																						1		641850201		4185																																	
6418503		1																																						1		641850301		4185																																	
6418504		1																																						1		641850401		4185																																	
6418505	2	1		1	7306229	3																																		5	6418506,6418507,6418508	641850501		4185																																	
6418506		1		1	7306229	3																																		1		641850601		4185																																	
6418507		1		1	7306229	3																																		1		641850701		4185																																	
6418508		1		1	7306229	3																																		1		641850801		4185																																	
6418509	2	1		1	7303209	3																																		4		641850901		4185																																	
6418701	2	1																																						3	6418702,6418703,6418704	641870101		4187																																	
6418702		1																																						1		641870201		4187																																	
6418703		1																																						1		641870301		4187																																	
6418704		1																																						1		641870401		4187																																	
6418705	2	1		1	7303803	3																																		5	6418706,6418707	641870501		4187																																	
6418706		1		1	7303803	3																																		1		641870601		4187																																	
6418707		1		1	7303803	3																																		1		641870701		4187																																	
6418801	2	1																																						3	6418802,6418803,6418804	641880101		4188																																	
6418802		1																																						1		641880201		4188																																	
6418803		1																																						1		641880301		4188																																	
6418804		1																																						1		641880401		4188																																	
6418805	2	1		1	7303803	3																																		5	6418806,6418807,6418808	641880501		4188																																	
6418806		1		1	7303803	3																																		1		641880601		4188																																	
6418807		1		1	7303803	3																																		1		641880701		4188																																	
6418808		1		1	7303803	3																																		1		641880801		4188																																	
6418901	2	1																																						2	6418902,6418903,6418904	641890101		4189																																	
6418902		1																																						1		641890201		4189																																	
6418903		1																																						1		641890301		4189																																	
6418904		1																																						1		641890401		4189																																	
6418905	2	1		1	7306806	3																																		3	6418906,6418907	641890501		4189																																	
6418906		1		1	7306806	3																																		1		641890601		4189																																	
6418907		1		1	7306806	3																																		1		641890701		4189																																	
6418908	2	1		1	7303803	3																																		5	6418909,6418910	641890801		4189																																	
6418909		1		1	7303803	3																																		1		641890901		4189																																	
6418910		1		1	7303803	3																																		1		641891001		4189																																	
6419001	2	1																																						3	6419002,6419003	641900101		4190																																	
6419002		1																																						1		641900201		4190																																	
6419003		1																																						1		641900301		4190																																	
6419004	2	1		1	7303803	3																																		5	6419005,6419006	641900401		4190																																	
6419005		1		1	7303803	3																																		1		641900501		4190																																	
6419006		1		1	7303803	3																																		1		641900601		4190																																	
6419101	2	1																																						3	6419102,6419103,6419104	641910101		4191																																	
6419102		1																																						1		641910201		4191																																	
6419103		1																																						1		641910301		4191																																	
6419104		1																																						1		641910401		4191																																	
6419106	2	1		1	7303803	3																																		5	6419107,6419108,6419109	641910601		4191																																	
6419107		1		1	7303803	3																																		1	7396601	641910701		4191																																	
6419108		1		1	7303803	3																																		1		641910801		4191																																	
6419109		1		1	7303803	3																																		1		641910901		4191																																	
6419201	2	1																																						3	6419202,6419203,6419204	641920101		4192																																	
6419202		1																																						1		641920201		4192																																	
6419203		1																																						1		641920301		4192																																	
6419204		1																																						1		641920401		4192																																	
6419205	2	1		1	7303803	3																																		5	6419206,6419207,6419208	641920501		4192																																	
6419206		1		1	7303803	3																																		1		641920601		4192																																	
6419207		1		1	7303803	3																																		1		641920701		4192																																	
6419208		1		1	7303803	3																																		1		641920801		4192																																	
6419301	2	1																																						3	6419302,6419303,6419304	641930101		4193																																	
6419302		1																																						1		641930201		4193																																	
6419303		1																																						1		641930301		4193																																	
6419304		1																																						1		641930401		4193																																	
6419305	2	1		1	7303803	3																																		5	6419306,6419307	641930501		4193																																	
6419306		1		1	7303803	3																																		1	6419308,6419309	641930601		4193																																	
6419307		1		1	7303803	3																																		1		641930701		4193																																	
6419308		1		1	7303803	3																																		1		641930801		4193																																	
6419309		1		1	7303803	3																																		1		641930901		4193																																	
6419401	2	1																																						3	6419402,6419403,6419404	641940101		4194																																	
6419402		1																																						1		641940201		4194																																	
6419403		1																																						1	6419405	641940301		4194																																	
6419404		1																																						1		641940401		4194																																	
6419405		1																																						1		641940501		4194																																	
6419406	2	1		1	7303803	3																																		5	6419407,6419408	641940601		4194																																	
6419407		1		1	7303803	3																																		1		641940701		4194																																	
6419408		1		1	7303803	3																																		1		641940801		4194																																	
6419409	2	1		1	7303209	3																																		4		641940901		4194																																	
6419501	2	1																																						3	6419502,6419503,6419504	641950101		4195																																	
6419502		1																																						1		641950201		4195																																	
6419503		1																																						1		641950301		4195																																	
6419504		1																																						1		641950401		4195																																	
6419505	2	1		1	7303803	3																																		5	6419506,6419507,6419508	641950501		4195																																	
6419506		1		1	7303803	3																																		1		641950601		4195																																	
6419507		1		1	7303803	3																																		1		641950701		4195																																	
6419508		1		1	7303803	3																																		1		641950801		4195																																	
6419601	2	1		1	7302515	3																																		3	6419602,6419603,6419604	641960101		4196																																	
6419602		1		1	7302515	3																																		1		641960201		4196																																	
6419603		1		1	7302515	3																																		1		641960301		4196																																	
6419604		1		1	7302515	3																																		1		641960401		4196																																	
6419605	2	1		1	7303803	3																																		5	6419606,6419609	641960501		4196																																	
6419606		1		1	7303803	3																																		1	6419607,6419608	641960601		4196																																	
6419607		1		1	7303803	3																																		1		641960701		4196																																	
6419608		1		1	7303803	3																																		1		641960801		4196																																	
6419609		1		1	7303803	3																																		1		641960901		4196																																	
6419610	2	1		1	7303209	3																																		4		641961001		4196																																	
6419701	2	1		1	7302515	3																																		3	6419702,6419703,6419704	641970101		4197																																	
6419702		1		1	7302515	3																																		1		641970201		4197																																	
6419703		1		1	7302515	3																																		1		641970301		4197																																	
6419704		1		1	7302515	3																																		1		641970401		4197																																	
6419705	2	1		1	7303803	3																																		5	6419706,6419707	641970501		4197																																	
6419706		1		1	7303803	3																																		1		641970601		4197																																	
6419707		1		1	7303803	3																																		1		641970701		4197																																	
6419708	2	1		1	7303209	3																																		4		641970801		4197																																	
6420901	2	1		1	7302515	3																																		3		642090101		4209,4208																																	
6420902	2	1		1	7303803	3																																		5		642090201		4209,4208																																	
6420903	2	1		1	7303209	3																																		4		642090301		4209,4208																																	
6421001	2	1		1	7302515	3																																		3	6421002,6421003,6421004,6421005	642100101		4210																																	
6421002		1		1	7302515	3																																		1		642100201		4210																																	
6421003		1		1	7302515	3																																		1		642100301		4210																																	
6421004		1		1	7302515	3																																		1		642100401		4210																																	
6421005		1		1	7302515	3																																		1		642100501		4210																																	
6421006	2	1		1	7303803	3																																		4	6421007,6421008,6421009,6421010	642100601		4210																																	
6421007		1		1	7303803	3																																		1		642100701		4210																																	
6421008		1		1	7303803	3																																		1		642100801		4210																																	
6421009		1		1	7303803	3																																		1		642100901		4210																																	
6421010		1		1	7303803	3																																		1		642101001		4210																																	
6421101	2	1		1	7302515	3																																		3	6421102,6421103,6421104	642110101		4211																																	
6421102		1		1	7302515	3																																		1		642110201		4211																																	
6421103		1		1	7302515	3																																		1		642110301		4211																																	
6421104		1		1	7302515	3																																		1		642110401		4211																																	
6421105	2	1		1	7303803	3																																		5	6421106,6421107,6421108	642110501		4211																																	
6421106		1		1	7303803	3																																		1		642110601		4211																																	
6421107		1		1	7303803	3																																		1		642110701		4211																																	
6421108		1		1	7303803	3																																		1		642110801		4211																																	
6421109	2	1		1	7303201	3																																		4		642110901		4211																																	
6421201	2	1		1	7302515	3																																		3	6421202,6421203,6421204	642120101		4212																																	
6421202		1		1	7302515	3																																		1	6421205	642120201		4212																																	
6421203		1		1	7302515	3																																		1		642120301		4212																																	
6421204		1		1	7302515	3																																		1		642120401		4212																																	
6421205		1		1	7302515	3																																		1		642120501		4212																																	
6421206	2	1		1	7303803	3																																		5	6421207,6421208	642120601		4212																																	
6421207		1		1	7303803	3																																		1		642120701		4212																																	
6421208		1		1	7303803	3																																		1		642120801		4212																																	
6421209	2	1		1	7303201	3																																		4		642120901		4212																																	
6422301	2	1																																						3	6422302,6422303	642230101		4223																																	
6422302		1																																						1		642230201		4223																																	
6422303		1																																						1		642230301		4223																																	
6422401	2	1																																						3	6422402,6422403,6422404	642240101		4224																																	
6422402		1																																						1	6422405	642240201		4224																																	
6422403		1																																						1		642240301		4224																																	
6422404		1																																						1		642240401		4224																																	
6422405		1																																						1		642240501		4224																																	
6422406	2	1		1	7303803	3																																		5	6422407,6422408,6422409	642240601		4224																																	
6422407		1		1	7303803	3																																		1		642240701		4224																																	
6422408		1		1	7303803	3																																		1	6422410	642240801		4224																																	
6422409		1		1	7303803	3																																		1		642240901		4224																																	
6422410		1		1	7303803	3																																		1		642241001		4224																																	
6423001	2	1		1	7302515	3																																		3	6423002,6423003,6423004	642300101		4230																																	
6423002		1		1	7302515	3																																		1		642300201		4230																																	
6423003		1		1	7302515	3																																		1		642300301		4230																																	
6423004		1		1	7302515	3																																		1		642300401		4230																																	
6423005	2	1		1	7303803	3																																		5	6423006,6423008	642300501		4230																																	
6423006		1		1	7303803	3																																		1		642300601		4230																																	
6423008		1		1	7303803	3																																		1		642300801		4230																																	
6423009	2	1		1	7303201	3																																		4	6423010,6423011	642300901		4230																																	
6423010		1		1	7303201	3																																		1	6423012	642301001		4230																																	
6423011		1		1	7303201	3																																		1		642301101		4230																																	
6423012		1		1	7303201	3																																		1		642301201		4230																																	
6423101	2	1		1	7302515	3																																		3	6423102,6423103	642310101		4231																																	
6423102		1		1	7302515	3																																		1		642310201		4231																																	
6423103		1		1	7302515	3																																		1		642310301		4231																																	
6423104	2	1		1	7303803	3																																		4	6423105,6423113,6423106,6423110,6423107,6423111,6423108,6423112,6423109	642310401		4231																																	
6423105		1	1	1	7303803	3				44	302821	0																												1		642310501		4231																																	
6423106		1	1	1	7303803	3				44	302821	0																												1		642310601		4231																																	
6423107		1	1	1	7303803	3				44	302821	0																												1		642310701		4231																																	
6423108		1	1	1	7303803	3				44	302821	0																												1		642310801		4231																																	
6423109		1		1	7303803	3																																		1		642310901		4231																																	
6423110		1	1	1	7303803	3				44	302821	1																												1		642311001		4231																																	
6423111		1	1	1	7303803	3				44	302821	1																												1		642311101		4231																																	
6423112		1	1	1	7303803	3				44	302821	1																												1		642311201		4231																																	
6423113		1	1	1	7303803	3				44	302821	1																												1		642311301		4231																																	
6423201	2	1		44	73275	1																																		3	6423203,6423204,6423205	642320101		4232																																	
6423203		1		44	73275	1																																		1	6423206	642320301		4232																																	
6423204		1		44	73275	1																																		1		642320401		4232																																	
6423205		1		44	73275	1																																		1		642320501		4232																																	
6423206		1		44	73275	1																																		1		642320601		4232																																	
6423301	2	1		46	73223	4																																		3	6423302,6423303	642330101		4233																																	
6423302		1		46	73223	4																																		1		642330201		4233																																	
6423303		1		46	73223	4																																		1		642330301		4233																																	
6423304	2	1		44	73223	4																																		3	6423306,6423307	642330401		4233																																	
6423306		1		44	73223	4																																		1		642330601		4233																																	
6423307		1		44	73223	4																																		1		642330701		4233																																	
6423501	2	1		44	73193	1																																		5	6423502,6423503,6423504	642350101		4235																																	
6423502		1		44	73193	1																																		5	6423505	642350201		4235																																	
6423503		1		44	73193	1																																		5	6423506	642350301		4235																																	
6423504		1		44	73193	1																																		5		642350401		4235																																	
6423505		1		44	73193	1																																		5		642350501		4235																																	
6423506		1		44	73193	1																																		5		642350601		4235																																	
6423601	2	1																																						3	6423602,6423603,6423604	642360101		4236																																	
6423602		1																																						1		642360201		4236																																	
6423603		1																																						1		642360301		4236																																	
6423604		1																																						1		642360401		4236																																	
6423605	2	1		1	7303803	3																																		5	6423606,7396701,6423607	642360501		4236																																	
6423606		1		1	7303803	3																																		1		642360601		4236																																	
6423607		1		1	7303803	3																																		1		642360701		4236																																	
6423608	2	1		1	7303206	3																																		4		642360801		4236																																	
6423701	2	1																																						3	6423702,6423703	642370101		4237																																	
6423702		1																																						1		642370201		4237																																	
6423703		1																																						1		642370301		4237																																	
6423704	2	1		1	7303803	3																																		5	6423705	642370401		4237																																	
6423705		1		1	7303803	3																																		1		642370501		4237																																	
6423706	2	1		1	7303206	3																																		4		642370601		4237																																	
6423801	2	1																																						3	6423802,6423803	642380101		4238																																	
6423802		1																																						1		642380201		4238																																	
6423803		1																																						1		642380301		4238																																	
6423804	2	1		1	7303803	3																																		5	6423805	642380401		4238																																	
6423805		1		1	7303803	3																																		1		642380501		4238																																	
6423806	2	1		1	7303206	3																																		4		642380601		4238																																	
6423901	2	1																																						3	6423902,6423903	642390101		4239																																	
6423902		1																																						1		642390201		4239																																	
6423903		1																																						1		642390301		4239																																	
6423904	2	1		1	7303803	3																																		5	6423905,6423906	642390401		4239																																	
6423905		1		1	7303803	3																																		1		642390501		4239																																	
6423906		1		1	7303803	3																																		1		642390601		4239																																	
6423907	2	1		1	7303206	3																																		4		642390701		4239																																	
6424001	2	1		1	7303803	3																																		3	6424002,6424003	642400101		4240																																	
6424002		1		1	7303803	3																																		1		642400201		4240																																	
6424003		1		1	7303803	3																																		1		642400301		4240																																	
6424004	2	1		1	7305903	3																																		4	6424005,6424006,6424007	642400401		4240																																	
6424005		1		1	7305903	3																																		1		642400501		4240																																	
6424006		1		1	7305903	3																																		1		642400601		4240																																	
6424007		1		1	7305903	3																																		1		642400701		4240																																	
6424101	2	1		1	7303803	3																																		3	6424102,6424103	642410101		4241																																	
6424102		1		1	7303803	3																																		1		642410201		4241																																	
6424103		1		1	7303803	3																																		1		642410301		4241																																	
6424104	2	1		1	7305903	3																																		4	6424105,6424106,6424107	642410401		4241																																	
6424105		1		1	7305903	3																																		1		642410501		4241																																	
6424106		1		1	7305903	3																																		1		642410601		4241																																	
6424107		1		1	7305903	3																																		1		642410701		4241																																	
6424201	2	1		1	7303803	3																																		3	6424202,6424203	642420101		4242																																	
6424202		1		1	7303803	3																																		1		642420201		4242																																	
6424203		1		1	7303803	3																																		1		642420301		4242																																	
6424204	2	1		1	7305903	3																																		4	6424205,6424206,6424207	642420401		4242																																	
6424205		1		1	7305903	3																																		1		642420501		4242																																	
6424206		1		1	7305903	3																																		1		642420601		4242																																	
6424207		1		1	7305903	3																																		1		642420701		4242																																	
6424501	2	1																																						3	6424502,6424503	642450101		4245																																	
6424502		1																																						1		642450201		4245																																	
6424503		1																																						1		642450301		4245																																	
6424601	2	1																																						3		642460101		4246																																	
6424701	2	1																																						3		642470101		4247,1702																																	
6425701	2	1																																						3		642570101		4257																																	
6425801	2	1																																						3	6425802,6425803,6425804,6425805	642580101		4258																																	
6425802		1																																						1		642580201		4258																																	
6425803		1																																						1		642580301		4258																																	
6425804		1		1	7315801	3																																		1		642580401		4258																																	
6425805		1																																						1		642580501		4258																																	
6425901	2	1																																						3	6425902,6425903,6425904	642590101		4259																																	
6425902		1																																						1		642590201		4259																																	
6425903		1																																						1		642590301		4259																																	
6425904		1																																						1		642590401		4259																																	
6425905	2	1		44	73062	1																																		4	6425906,6425907,6425908	642590501		4259																																	
6425906		1		44	73062	1																																		1		642590601		4259																																	
6425907		1		44	73062	1																																		1		642590701		4259																																	
6425908		1		44	73062	1																																		1		642590801		4259																																	
6428501	2	1																																						3	6428502,6428503,6428504	642850101		4285																																	
6428502		1																																						1		642850201		4285																																	
6428503		1																																						1		642850301		4285																																	
6428504		1																																						1		642850401		4285																																	
6430001	2	1																																						3	6430002,6430003,6430004,6430005	643000101		4300																																	
6430002		1																																						1		643000201		4300																																	
6430003		1																																						1	7390001	643000301		4300																																	
6430004		1																																						1		643000401		4300																																	
6430005		1																																						1		643000501		4300																																	
6430101	2	1																																						3	7365301,6430102,6430103,6430106,6430104	643010101		4301																																	
6430102		1																																						1	6430105	643010201		4301																																	
6430103		1		44	302821	0																																		1	7390101	643010301		4301																																	
6430104		1																																						1		643010401		4301																																	
6430105		1																																						1		643010501		4301																																	
6430106		1		44	302821	1																																		1		643010601		4301																																	
6430201	2	1																																						3	6430202,6430203	643020101		4302																																	
6430202		1																																						1	6430204	643020201		4302																																	
6430203		1																																						1		643020301		4302																																	
6430204		1																																						1	6430205	643020401		4302																																	
6430205		1																																						1		643020501		4302																																	
6430301	2	1																																						3	6430302,6430303	643030101		4303																																	
6430302		1																																						1	6430304,6430305	643030201		4303																																	
6430303		1																																						1		643030301		4303																																	
6430304		1	2	2	300311	3				1	300311	0																												1		643030401		4303																																	
6430305		1		1	300311	3																																		1		643030501		4303																																	
