CondId	默认激活	通知客户端	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	[条件]5类型	[条件]5参数	[生效执行]1类型	[生效执行]1参数	[生效执行]2类型	[生效执行]2参数	[生效执行]3类型	[生效执行]3参数	[生效执行]4类型	[生效执行]4参数	[生效执行]5类型	[生效执行]5参数	[失效执行]1类型	[失效执行]1参数	[失效执行]2类型	[失效执行]2参数	[失效执行]3类型	[失效执行]3参数	[失效执行]4类型	[失效执行]4参数	[失效执行]5类型	[失效执行]5参数	生效一次
5072007	1	1	1	12	7	13	22	4	7268407					76	7																			
5072008	1	1	1	12	1	13	22	4	201310					3	7268401									4	72684									
5072009	1	1	1	12	1	4	7268407	13	22					118										119										
5072011	1	1	1	12	7	13	22	48						3	7250001									4	72500									
5072012	1	1	1	12	19	13	22							47	60																			
5072013	1	1	1	12	1	13	22	4	201310					17	133209095									18	133209095									
5076008	1		1	12	1									67	1																			
5076009	1		1	12	2									67	2																			
5076010	1		1	12	3									67	3																			
5076011	1		1	12	4									67	4																			
5076012	1		1	12	5									67	5																			
5076013	1		1	12	6									67	6																			
5076014	1		1	12	7									47	40																			
5076104	1		1	12	1	4	201310							3	7268201	17	133220745							4	72682	18	133220745							
5076105	1		1	12	1	4	7268201							1	469	71	469							2	469									
5076106	1	1	1	12	1	4	7268202							17	133221073	72	469							18	133221073									
5079001	1	1	1	12	1	51	3,2	52	1					3	7150101									4	71501									
5079002	1	1	1	12	1	4	7150102	52	1					68	50790101									73	50790101									
5079003	1	1	1	12	1			52	2					3	7150601									4	71506									
5079004	1	1	1	12	2	4	7150601	52	2					3	7150203									4	71502									
5079005	1	1	1	12	2	4	7150201	52	2					68	50790102									73	50790102									
5079006	1	1	1	12	2			52	3					3	7150701									4	71507									
5079007	1	1	1	12	3	4	7150701	52	3					3	7150303									4	71503									
5079008	1	1	1	12	3	4	7150301	52	3					68	50790103									73	50790103									
5079009	1	1	1	12	3			52	4					3	7150801									4	71508									
5079010	1	1	1	12	4	4	7150801	52	4					3	7150404									4	71504									
5079011	1	1	1	12	4	4	7150402	52	4					68	50790104									73	50790104									
5079012	1	1	1	12	4			52	5					3	7150901									4	71509									
5079013	1	1	1	12	5	4	7150901	52	5					3	7150503									4	71505									
5079014	1	1	1	12	5	4	7150501	52	5					68	50790105									73	50790105									
5079015	1	1	1	12	5	50		52	5					3	7151001									4	71510									
5079016	1	1	1	12	1	4	7150102	32	7150601,0					17	166001662									18	166001662									
5079017	1	1	1	12	2	4	7150201	32	7150701,0					17	166001663									18	166001663									
5079018	1	1	1	12	3	4	7150301	32	7150801,0					17	166001664									18	166001664									
5079019	1	1	1	12	4	4	7150402	32	7150901,0					17	166001665									18	166001665									
5079020	1	1	1	12	5	4	7150501	32	7151001,0					17	166001661									18	166001661									
5079021	1	1	1	12	1	4	7150601	32	7150201,0					17	166001658									18	166001658									
5079022	1	1	1	12	1	4	7150701	32	7150301,0					17	166001657									18	166001657									
5079023	1	1	1	12	1	4	7150801	32	7150401,0					17	166001659	17	133106624							18	166001659	18	133106624							
5079024	1	1	1	12	1	4	7150901	32	7150501,0					17	166001660									18	166001660									
5079026	1	1	1	12	10									47	64																			
5079027	1	1	1	12	4			52	5					17	133106624									18	133106624									
5079028	1	1	1	12	1	51	3,2																	18	166001606,166001581,166001630,166001582,166001574									
5079029	1	1	1	12	1	4	7150601							18	166001606																			
5079030	1	1	1	12	1	4	7150701							18	166001581																			
5079031	1	1	1	12	1	4	7150801							18	166001630																			
5079032	1	1	1	12	1	4	7150901							18	166001582																			
5079033	1	1	1	12	1	4	7151001																											
5079034	1	1	1	12	4	4	7150402	32	7150901,0					17	166003001									18	166003001									
5080001	1	1	1	12	1	4	7280705							3	7269401	17	133209093	1	574					4	72694,72726	18	133209093	2	574					
5080002	1	1	1	12	2	4	7269404							3	7269501									4	72695									
5080003	1	1	1	12	3	4	7269503							3	7269601									4	72696									
5080004	1	1	1	12	4	4	7269605							3	7269701									4	72697									
5080011	1	1	1	12	1	4	7269402							120	1																			
5080012	1	1	1	12	2	4	7269501							120	2																			
5080013	1	1	1	12	3	4	7269601							120	3																			
5080014	1	1	1	12	4	4	7269701							120	4,5,6																			
5080021	1	1	1	12	2	4	7269501							68	50800101	17	133001110							73	50800101	18	133001110							
5080022	1	1	1	12	2	4	7269502							68	50800201	17	133105079	87	50800101					73	50800201	18	133105079							
5080023	1	1	1	12	2	4	7269504							68	50800301	17	133213558	87	50800201					73	50800301	18	133213558							
5080024	1	1	1	12	2	4	7269505							87	50800301																			
5080030	1	1	1	12	4	4	7269701	54																										
5080031	1	1	1	12	9									47	68																			
5080040	1	1	1	12	3	4	7269603							17	133209094									18	133209094									
5080041	1	1	1	12	3	4	7269604							18	133209094																			
5080042	1	1	1	12	4	4	7269701							17	133209094									18	133209094									
2013001	1	1	1	12	1	13	22	4	7104520	46	1100811,1202618,1204209			3	101907																			
2013002	1	1	1	12	1	13	22	4	102807					121	1	1	7,20130	19	7	27	220130012,2,20130			2	7,20130	20	7	4	1027	27	220130012,1,20130			
2013003	1	1	1	12	3	13	22	4	102807					3	102901																			
2013004	1	1	1	12	3	13	22	4	102923					121	2									4	1032									
2013005	1	1	1	12	4	13	22	4	102923					3	103001																			
2013006	1	1	1	12	4	13	22	4	103106					121	3																			
2013007	1	1	1	12	5	13	22	4	103106	11	1201305,1201310,1201315			121	4																			
2013008	1	1	1	12	22									122																				
2013009	1	1	1	12	1	14	28	13	22					94																				
2013010	1	1	1	12	18	13	22							47	67																			
2013011	1	1	1	12	4	13	22	4	103103					2	7,20130	1	18,6	17	166004002	27	220130012,1,20130			2	18,6	18	166004002							
2013012	1	1	1	12	22	4	102510,7104520,1100811,1202618,1204209							3	101907																			
2013013	1	1	1	12	22	4	102807							3	102901																			
2013014	1	1	1	12	22	4	102923							3	103001																			
2013015	1	1	1	12	1	13	3	4	102807					3	102701																			
2013016	1	1	1	12	3	13	4	4	102923					3	103201																			
2014001	1	1	1	12	1																													
2014002	1	1	1	12	1																													
2014003	1	1	1	12	1	46	1050211	4	200212					3	4006401									4	40064									
2014004	1	1	1	12	2			4	4006415					3	4006502									4	40067	4	40065	4	40066					
2014005	1	1	1	12	3			4	4006714					3	4006801									4	40070	4	40068	4	40069					
2014006	1	1	1	12	4			4	4007017					3	4007101									4	40073	4	40071	4	40072					
2014007	1	1	1	12	5			4	4007318					3	4007401									4	40077	4	40074	4	40075	4	40076			
2014008	1	1	1	12	36									47	70																			
2014009	1	1	1	12	2			4	4006714					124	1																			
2014010	1	1	1	12	3			4	4007017					124	2																			
2014011	1	1	1	12	4			4	4007318					124	3																			
2014012	1	1	1	12	5			4	4007613					124	4																			
2014013	1	1	1	12	1			4	4006407					65	9	60	9,59							64	9	61	9,59							
2014014	1	1	1	12	1			4	4006415					68	20140101	125	1							73	20140101									
2014015	1	1	1	12	1			4	4006415					68	20140201	125	2							73	20140201									
2014016	1	1	1	12	1			4	4006415					68	20140301	125	3							73	20140301									
2014017	1	1	1	12	2			4	4006415					68	20140401	125	4							73	20140401									
2014018	1	1	1	12	2			4	4006415					68	20140501	125	5							73	20140501									
2014019	1	1	1	12	3			4	4006415					68	20140601	125	6							73	20140601									
2014020	1	1	1	12	1			14	32					94																				
2014021	1	1	1	4	4006414									17	199001159									18	199001159									
2014022	1	1	1	4	4006414	13	2							17	199001025									18	199001025									
2014023	1	1	1	4	4006714	13	3							17	199001247									18	199001247									
2014024	1	1	1	4	4007017	13	4							17	199001040,199001041,199001044									18	199001040,199001041,199001044									
2014025	1	1	1	4	4007318	13	5							17	199001045,199001228,199001229									18	199001045,199001228,199001229									
2014026	1	1	1	4	4007710									17	199001232,199001231,199001230,199001048									18	199001232,199001231,199001230,199001048									
2014027	1	1	1	4	4006414	32	20013,1	4	49010					17	133004053									18	133004053									
5082001	1	1	1	12	1	32	10003,1							3	7051401	1	578,3	17	133004074					4	70514	2	578,3	18	133004074					
5082002	1	1	1	11	15082006	4	7051404							3	7051501									4	70515									
5082101	1	1	1	12	7									47	65																			
5082102	1	1	1	12	1	4	7051404							127	1																			
5082103	1	1	1	12	2	4	7051404							127	2																			
5082104	1	1	1	12	3	4	7051404							127	3																			
5082105	1	1	1	12	4	4	7051404							127	4																			
5082106	1	1	1	12	5	4	7051404							127	5																			
5082107	1	1	1	12	6	4	7051404							127	6																			
5083001	1	1	1	12	1	4	4006415							3	7051701									4	70517									
5083002	1	1	1	12	1	4	7051701							126	1	17	199001104							18	199001104									
5083003	1	1	1	12	2	4	7051701							126	2																			
5083004	1	1	1	12	3	4	7051701							126	3																			
5083005	1	1	1	12	4	4	7051701							126	4																			
5083006	1	1	1	12	5	4	7051701							126	5																			
5083007	1	1	1	12	6	4	7051701							126	6																			
5083008	1	1	1	12	1	4	7051701							17	199002107	1	57,9							18	199002107	2	57,9							
5083009	1	1	1	12	8									47	78																			
5084001	1	1	1	12	36									47	80																			
5084002	1	1	1	12	1	4	7902411							17	199001212,199001213,199001214									18	199001212,199001213,199001214									
5084003	1	1	1	12	1	4	4006407							128	4,2811	17	199001216,199001217,199001218,199001223							129	4,2811	18	199001216,199001217,199001218,199001223							
5084004	1	1	1	12	1	4	4006502							128	4,2821	128	4,28213	128	4,28214					129	4,2821	129	4,28213	129	4,28214					
5084005	1	1	1	12	1	4	4006515							128	4,2822									129	4,2822									
5084006	1	1	1	12	1	4	4006714							3	7902501	128	4,2823							4	79025	129	4,2823	4	79035					
5084007	1	1	1	12	1	4	4006810							128	4,2831									129	4,2831									
5084008	1	1	1	12	1	4	4006913							128	4,2832									129	4,2832									
5084009	1	1	1	12	1	4	4007009							128	4,2833									129	4,2833									
5084010	1	1	1	12	1	4	4007115							128	4,2841									129	4,2841									
5084011	1	1	1	12	1	4	4007213							128	4,2842									129	4,2842									
5084012	1	1	1	12	1	4	4007318							128	4,2843	3	7902601							129	4,2843	4	79026							
5084013	1	1	1	12	1	4	4007409							128	4,2851	3	7901301							129	4,2851	4	79013							
5084014	1	1	1	12	1	4	4007613							3	7902120	3	7902001							4	79021	4	79020,79028,79029,79030,79031,79032,79037,79019,79040							
5084015	1	1	1	12	1	4	4007707							17	199002064	129	4,28214							18	199002064									
5084016	1	1	1	12	1	4	4007710							17	199001219,199001220,199001221,199001222,199001225,199001226,199001227,199001127,199001049,199001046,199001036	3	7902214	3	7902314	3	7902401			18	199001219,199001220,199001221,199001222,199001225,199001226,199001227,199001127,199001049,199001046,199001036	4	79022	4	79023	4	79024	4	79033	
5084017	1	1	1	12	33	4	7902119							3	7902701									4	79027									
5084018	1	1	1	12	1	4	4006618							3	7903603									4	79036									
5084019	1	1	1	12	1	4	7902119							17	199002061,199002062									18	199002061,199002062									
5084020	1	1	1	12	1	4	7902710							129	4,28213	18	199002064,199002061,199002062																	
5084021	1	1	1	12	1																													
5084022	1	1	1	12	1	4	4007613							61	9,59																			
5084023	1	1	1	12	1									4	79040																			
5085001	1	1	1	12	1	4	7051207							17	133001101	1	580							18	133001101	2	580							
5085002	1	1	1	12	1	4	39604	4	46618					3	7051201									4	70512									
5085003	1	1	1	12	7	4	7051207	53						3	7051301									4	70513									
5085004	1	1	1	12	16									47	66																			
5085005	1	1	1	12	1	4	39604	4	46618					17	133001093	3	7051608							4	70512	4	70513	4	70516	18	133001093	27	201018003,1,1018	
5085006	1	1	1	12	1									17	133001222									18	133001222									
5087001	1	1	1	12	1									130	1																			
5087002	1	1	1	12	3									130	2																			
5087003	1	1	1	12	5									130	3																			
5087004	1	1	1	12	7									130	4																			
5087005	1	1	1	12	8									47	69																			
5087006	1	1	1	12	1									3	7365101	1	613	71	613					4	73651	2	613							
5087007	1	1	1	12	7	4	7365101	55						3	7365201									4	73652									
5087008	1	1	1	12	1	4	7365101							72	613	17	133302230							18	133302230									
5087009	1	1	1	4	7365201									18	133302230																			
5090001	1	1	1	12	1	4	7365002							134	1																			
5090002	1	1	1	12	2	4	7365002							134	2																			
5090003	1	1	1	12	3	4	7365002							134	3																			
5090004	1	1	1	12	4	4	7365002							134	4																			
5090005	1	1	1	12	5	4	7365002							134	5																			
5090006	1	1	1	12	6	4	7365002							134	6																			
5090007	1	1	1	12	7	4	7365002							134	7																			
5090011	1	1	1	12	1	4	39604							3	7365001									4	73650									
5090012	1	1	1	12	1	4	7365001							1	620	71	620							2	620									
5090013	1	1	1	12	1	4	7365002							72	620	17	133302229							18	133302229									
5090021	1	1	1	12	15									47	81																			
2015001	1		1	12	32									47	71																			
2015002	1	1	1	12	1	4	7350014							131	1																			
2015003	1	1	1	12	5	4	7350014							131	2																			
2015004	1	1	1	12	8	4	7350014							131	3																			
2015005	1	1	1	12	11	4	7350014							131	4																			
2015006	1	1	1	12	1	46	300420							3	7350001									4	73500									
2015007	1	1	1	12	8	4	7350014							3	7350101									4	73501									
2015008	1	1	1	12	1	4	7350014							135	1																			
2015009	1	1	1	12	5	4	7350014							135	2																			
2015010	1	1	1	12	8	4	7350014							135	3																			
2015011	1	1	1	12	11	4	7350014							135	4																			
2015012	1	1	1	12	1	46	300420							17	133304414,133304102									18	133304414,133304102									
2015013	1	1	1	12	1	14	20							94																				
2015014	1	1	1	12	1	4	7350014							17	133304415	1	624,3	3	7350501					18	133304415	2	624,3	4	73505					
2015101	1	1	1	12	1	4	7350014							133	1																			
2015102	1	1	1	12	3	4	7350014							133	2																			
2015103	1	1	1	12	4	4	7350014							133	3																			
2015104	1	1	1	12	5	4	7350014							133	4																			
2015105	1	1	1	12	6	4	7350014							133	5																			
2015106	1	1	1	12	7	4	7350014							133	6																			
2015107	1	1	1	12	8	4	7350014							133	7																			
2015201	1	1	1	12	1	4	7350014							68	20150128,20150129,20150130,20150131,20150139	132	1							73	20150128,20150129,20150130,20150131,20150139									
2015202	1	1	1	12	5	4	7350014							68	20150132,20150133,20150134	132	2							73	20150132,20150133,20150134									
2015203	1	1	1	12	8	4	7350014							68	20150135,20150136,20150137	132	3							73	20150135,20150136,20150137									
2015204	1	1	1	12	11	4	7350014	4	7302515					68	20150138	132	4							73	20150138									
5091001	1	1	1	12	1	13	18							3	7367401									4	73674									
5091002	1	1	1	12	1	13	18							17	133302270	1	622,3							18	133302270	2	622,3							
5091003	1	1	1	12	15	13	18							47	79																			
5091011	1	1	1	12	1	13	18	4	7367401					136	1	68	50910101							87	50910101									
5091012	1	1	1	12	2	13	18	56	1					136	2	68	50910102							87	50910102									
5091013	1	1	1	12	3	13	18	56	2					136	3	68	50910103							87	50910103									
5091014	1	1	1	12	4	13	18	56	3					136	4	68	50910104							87	50910104									
5091015	1	1	1	12	5	13	18	56	4					136	5	68	50910105							87	50910105									
5091016	1	1	1	12	6	13	18	56	5					136	6	68	50910106							87	50910106									
5091017	1	1	1	12	1	13	18	56	1					73	50910101																			
5091018	1	1	1	12	2	13	18	56	2					73	50910102																			
5091019	1	1	1	12	3	13	18	56	3					73	50910103																			
5091020	1	1	1	12	4	13	18	56	4					73	50910104																			
5091021	1	1	1	12	5	13	18	56	5					73	50910105																			
5091022	1	1	1	12	6	13	18	56	6					73	50910106																			
5094001	1		1	12	1	4	7272702							67	1																			
5094002	1		1	12	2	4	7272702							67	2																			
5094003	1		1	12	3	4	7272702							67	3																			
5094004	1		1	12	4	4	7272702							67	4																			
5094005	1		1	12	5	4	7272702							67	5																			
5094006	1		1	12	6	4	7272702							67	6																			
5094007	1		1	12	11									47	40																			
5094008	1		1	12	1	4	201310							3	7272701									4	72727									
5094009	1		1	12	1	4	7272701							1	627	71	627							2	627									
5094010	1	1	1	12	1	4	7272702							17	133221098	72	627							18	133221098									
2016001	1	1	1	12	1	13	19	4	4007815					57	3,152	57	3,153	17	133002149,133002153,133002040,133002147					58	3,152	58	3,153	18	133002149,133002153,133002040,133002147					
2016002	1	1	1	12	1	13	19	4	39604	4	45406			3	4007801	3	4008801							4	40078	4	40088							
2016003	1	1	1	12	4	13	19	4	4007813					3	4007901									4	40079									
2016004	1	1	1	12	7	13	19	4	4007908					3	4008001									4	40080	27	133001039,1							
2016005	1	1	1	12	1	13	19	4	7368201					68	20160107	142	1							87	20160107,20160108,20160109,20160110,20160111									
2016006	1	1	1	12	4	13	19	4	7368201					68	20160112	142	2							87	20160112,20160113,20160114,20160115,20160116									
2016007	1	1	1	12	7	13	19	4	7368201					68	20160117	142	3							87	20160117,20160118,20160119,20160120,20160121									
2016008	1	1	1	12	3	13	19	4	7368001					141	1	17	133002112							18	133002112									
2016009	1	1	1	12	5	13	19	4	7368001	57	1			141	2																			
2016010	1	1	1	12	7	13	19	4	7368001	57	2			141	3																			
2016011	1	1	1	12	1	13	19	4	7367701					17	133002146,133002101									18	133002146,133002101									
2016012	1	1	1	12	4	13	19	4	7367801					17	133002100,133002102									18	133002100,133002102									
2016013	1	1	1	12	7	13	19	4	7367901					17	133002145									18	133002145									
2016014	1	1	1	12	3	13	19	4	7368101					143	1																			
2016015	1	1	1	12	1	13	19	4	4007813					3	7367701	140	1							4	73677									
2016016	1	1	1	12	4	13	19	4	7367702					3	7367801	140	2	18	133002101					4	73678									
2016017	1	1	1	12	7	13	19	4	7367802					3	7367901	140	3	18	133002102					4	73679									
2016018	1	1	1	12	3	13	19	4	4007813					3	7368001									4	73680									
2016019	1	1	1	12	3	13	19	4	7051902	57	1			3	7368101									4	73681									
2016020	1	1	1	12	1	13	19	4	4007813					3	7368201	17	133002165	19	8					4	73682	18	133002165	20	8					
2016021	1	1	1	12	16	13	19							47	84																			
2016022	1	1	1	12	2	13	19	4	4007813					3	7051801									4	70518									
2016023	1	1	1	12	2	13	19	4	7051803					145		3	7052201	3	7052301	1	695	1	696	4	70522	4	70523	2	695	2	696			
2016024	1	1	1	12	2	13	19	60	32000					3	7051901	151								4	70519									
2016025	1	1	1	12	2	13	19	4	7051902					146	1	148		1	694					2	694									
2016026	1	1	1	12	2	13	19	59	10					149	0																			
2016027	1	1	1	12	5	13	19	59	10					3	7052001									4	70520									
2016028	1	1	1	12	5	13	19	4	7052001					146	2	146	3	149	1	154														
2016029	1	1	1	12	5	13	19	60	1000000	59	20	61		150		3	7052101							4	70521									
2016030	1	1	1	12	5	13	19	4	7052102					147																				
2016032	1	1	1	12	2	13	19	59	2					152																				
2016033	1	1	1	12	2	13	19	59	5					153																				
2016031	1	1	1	12	19									144		27	133001039,1																	
2016034	1	1	1	12	7	13	19	4	7367902					1	688									2	688									
2016035	1	1	1	12	7	13	19	4	4008006					17	133003099,133002116,133002043,133003100,133004081									18	133003099,133002116,133002043,133003100,133004081									
2016036	1	1	1	12	1	14	21	13	19					94																				
2016037	0	1	1	12	1	13	19							27	201004011,2,1004									27	201004011,1,1004									
2016038	1	1	1	12	1	13	19	4	7367702					1	686									2	686									
2016039	1	1	1	12	4	13	19	4	7367802					1	687									2	687									
5095001	1	1	1	12	1									138	1																			
5095002	1	1	1	12	2									138	2																			
5095003	1	1	1	12	3									138	3																			
5095004	1	1	1	12	4									138	4																			
5095005	1	1	1	12	5									138	5																			
5095006	1	1	1	12	1	14	20							3	7066401									4	70664									
5095007	1	1	1	12	1	14	20							1	656	71	656							2	656									
5095008	1	1	1	12	1	4	7066401							72	656																			
5095009	1	1	1	12	1	4	7066401							17	133002106									18	133002106									
5095010	1	1	1	12	11									47	86																			
5096001	1	1	1	12	1	46	300612							3	7367501									4	73675	18	133303650							
5096002	1	1	1	12	1	4	7367501							68	50960101	139	1	3	7368501					87	50960101	4	73685							
5096003	1	1	1	12	2	4	7367501							68	50960102	139	2							87	50960102									
5096004	1	1	1	12	3	4	7367501							68	50960103	139	3							87	50960103									
5096005	1	1	1	12	4	4	7367501							68	50960104	139	4							87	50960104									
5096006	1	1	1	12	5	4	7367501							68	50960105	139	5							87	50960105									
5096007	1	1	1	12	6	4	7367501							68	50960106	139	6							87	50960106									
5096008	1	1	1	12	7	58	1,2,3,4,5,6							3	7367601	139	7							4	73676									
5096009	1	1	1	12	7									47	85																			
2017001	1	1	1	12	1	13	19	46	302617	46	1203106	4	102510	3	4008101	17	133302715,133304580	57	3,154					4	40081,40094	18	133302715,133304580	58	3,154					
2017002	1	1	1	12	2	13	19	4	4008122					3	4008201									4	40082									
2017003	1	1	1	12	3	13	19	4	4008211					3	4008301									4	40083									
2017004	1	1	1	12	4	13	19	4	4008313					3	4008401									4	40084									
2017005	1	1	1	12	5	13	19	4	4008415					3	4008501									4	40085,40087									
2017006	1	1	1	12	6	4	4008512							3	4008604									4	40086									
2017101	1	1	1	12	2	13	19	4	4008202					159	1	1	682							2	682									
2017102	1	1	1	12	3	13	19	4	4008301					159	2																			
2017103	1	1	1	12	3	13	19	4	4008309					159	3																			
2017104	1	1	1	12	4	13	19	4	4008401					159	4																			
2017105	1	1	1	12	4	13	19	4	4008406					159	5																			
2017106	1	1	1	12	5	13	19	4	4008517					159	6																			
2017111	1	1	1	12	2	13	19	4	4008213					27	133304573,2	27	133304574,2	27	133304575,2															
2017112	1	1	1	12	3	13	19	4	4008314					27	133304573,3	27	133304574,3	27	133304575,3															
2017113	1	1	1	12	3	13	19	4	4008315					27	133304573,4	27	133304574,4	27	133304575,4	17	133315335			18	133315335									
2017114	1	1	1	12	4	13	19	4	4008402					27	133304573,5	27	133304574,5	27	133304575,5	18	133315335													
2017115	1	1	1	12	4	13	19	4	4008412					27	133304573,6	27	133304574,6	27	133304575,6	17	133315338			18	133315338									
2017116	1	1	1	12	5	13	19	4	4008506					27	133304573,7	27	133304574,7	27	133304575,7	2	682													
2017121	1	1	1	12	1	13	19	4	4008121					17	133304574,133304575,133304576,133304507									18	133304574,133304575,133304576,133304507									
2017122	1	1	1	12	1	13	19	4	4008122					17	133304573									18	133304573									
2017123	1	1	1	12	5	13	19	4	4008415					18	133315338																			
2017201	1	1	1	12	1	13	19	4	4008109					155	1	68	20170101							87	20170101									
2017202	1	1	1	12	1	13	19	62	1					155	2	68	20170102							87	20170102									
2017203	1	1	1	12	2	13	19	62	2					155	3	68	20170103							87	20170103									
2017204	1	1	1	12	3	13	19	62	3					155	4	68	20170104							87	20170104									
2017205	1	1	1	12	4	13	19	62	4					155	5	68	20170105							87	20170105									
2017301	1	1	1	12	1	13	19	4	4008113					156	1	1	707							2	707									
2017302	1	1	1	12	1	13	19	4	4008113					156	2																			
2017303	1	1	1	12	1	13	19	4	4008113					156	3																			
2017304	1	1	1	12	1	13	19	4	4008113					156	4																			
2017305	1	1	1	12	2	13	19	4	4008113					156	5																			
2017306	1	1	1	12	2	13	19	4	4008113					156	6																			
2017307	1	1	1	12	3	13	19	4	4008113					156	7																			
2017308	1	1	1	12	3	13	19	4	4008113					156	8																			
2017309	1	1	1	12	4	13	19	4	4008113					156	9																			
2017310	1	1	1	12	4	13	19	4	4008113					156	10																			
2017401	1	1	1	12	1	13	19	4	4008119					157	1	1	704							2	704									
2017402	1	1	1	12	2	13	19	4	4008119					157	2																			
2017403	1	1	1	12	3	13	19	4	4008119					157	3																			
2017404	1	1	1	12	4	13	19	4	4008119					157	4																			
2017405	1	1	1	12	5	13	19	4	4008119					157	5																			
2017501	1	1	1	12	19									162		2	704	2	707	2	682													
2017502	1	1	1	12	1	32	4008512,1																											
2017601	1	1	1	12	15	13	19							47	88																			
2017602	1	1	1	12	1	13	19	14	30					94																				
5099001	1	1	1	12	1									160	1																			
5099002	1	1	1	12	2									160	2																			
5099003	1	1	1	12	3									160	3																			
5099004	1	1	1	12	4									160	4																			
5099005	1	1	1	12	5									160	5																			
5099008	1	1	1	12	14									47	83																			
5108001	1	1	1	12	1	4	201310	46	1201309,1101215	4	7250102			109	15,16									123	15,16									
5108002	1	1	1	12	2	4	201310	46	1201309,1101215	4	7250102			109	17,18									123	17,18									
5108003	1	1	1	12	3	4	201310	46	1201309,1101215	4	7250102			109	19,20									123	19,20									
5108004	1	1	1	12	4	4	201310	46	1201309,1101215	4	7250102			109	21,22									123	21,22									
5108005	1	1	1	12	5	4	201310	46	1201309,1101215	4	7250102			109	23,24									123	23,24									
5108006	1	1	1	12	6	4	201310	46	1201309,1101215	4	7250102			109	25,26									123	25,26									
5108007	1	1	1	12	7	4	201310	46	1201309,1101215	4	7250102			109	27,28									123	27,28									
5108008	1	1	1	47	15,16																													
5108009	1	1	1	47	17,18																													
5108010	1	1	1	47	19,20																													
5108011	1	1	1	47	21,22																													
5108012	1	1	1	47	23,24																													
5108013	1	1	1	47	25,26																													
5108014	1	1	1	47	27,28																													
5108015	1	1	1	12	1	4	201310	46	1201309,1101215	4	7181107			17	133220692	3	7250101							18	133220692	4	72501							
5108016	1	1	1	12	16									47	87																			
5108017	1	1	1	12	2	13	5	4	201310	46	1201309,1101215	4	7250102	17	133220643									18	133220643									
5108018	1	1	1	12	5	4	201310	46	1201309,1101215	4	7250102			17	133220721									18	133220721									
5107001	1	1	1	12	1									1	699	161	1,0	17	133001056					2	699	18	133001056							
5107002	1	1	1	12	1	11	1510704							161	1,3																			
5107003	1	1	1	12	1	11	1510707							161	1,4																			
5107004	1	1	1	12	3									161	2,0																			
5107005	1	1	1	12	3	11	1510711							161	2,3																			
5107006	1	1	1	12	3	11	1510714							161	2,4																			
5107007	1	1	1	12	5									161	3,0																			
5107008	1	1	1	12	5	11	1510718							161	3,3																			
5107009	1	1	1	12	5	11	1510721							161	3,4																			
5107010	1	1	1	12	7									161	4,0																			
5107011	1	1	1	12	7	11	1510725							161	4,3																			
5107012	1	1	1	12	7	11	1510728							161	4,4																			
5107013	1	1	1	12	10									47	95																			
