子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]4类型	[执行]4参数1	[执行]4参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
48201	482	1					1	99902	3											4	48201																						1		Q48202Ambor					3						1																																		1002	1100						
48202	482	2					1	48201	3											2	48202																						2		1002					3	2	2				1																																	1002		1100						
48203	482	3					1	48202	3											4	48203																																			1																																	1002		1100						
48209	482	4					1	48203	3											7	201015001													2	8	48209			21																																									19	1015	201015001,1							1002		1100						
48207	482	5					1	48209	4											4	48207																																			1																																	1002		1100						
48204	482	6					1	48207	3											2	4820403																						2		1002					3	2	2				1			14	48203																													1002		1100						
48208	482	7					1	48209	3											4	48208																																			1																																	1002		1100						
48205	482	8					1	48208	3											2	48205																						2		1002					3	2	2		1		1																																	1002		1100						
42709	427	1		1			1	48004	3											4	42709																						1		Ambor_FlyBegin					3	4					1																																	1002		1080						
42701	427	2					1	42709	3											2	42702																						2		1002					3	2	2				1																																	1002		1080						
42702	427	3		1			1	42701	3											4	42702														8	42702																				1																																	1002		1080						
42703	427	4					1	42702	4											2	4270303																						2		1002					3	2	2				1			14	42702																													1002		1080						
42704	427	5					1	42702	3											2	42704																						2		1002					3	2	1				1																																	1002		1080						
42705	427	6		1			1	42704	3											4	42705														8	42705																				1																																	1002		1080						
42706	427	7					1	42705	4											2	4270602																						2		1002					3	2	2				1			14	42705																													1002		1080						
42707	427	8					1	42705	3											4	42707																						1		Q427Land					3	4	1				1																																	1002		1080						
42708	427	9			1		1	42707	3											2	42708																																	1		1																																	1002		1080						
48401	484	1					1	42708	3											4	48401																						1		Q484Ambor					3	4					1																																	1002		1080						
48402	484	2					1	48401	3											2	48402																						2		1002					3	2	2				1																								18	100210:1,100211:1,100212:1								1002		1080						
48403	484	3	1	1			1	48402	3											25	70700007																						1		Q48403	15				3						1																																									
48404	484	4			1	1	1	48403	3		2	48407	3							18	0		0,24																																	1																																									
48405	484	5	1				1	48402	3										2	25	70700008				4	48405																	1		Q48405	15				3						1																																									
48406	484	6			1		1	48405	3											18	0		0,24																																	1																																									
48407	484	7	1	1			1	48402	3											25	70700009																						1		Q48407	15				3						1																																									
48408	484	8			1	1	1	48407	3		2	48403	3							18	0		0,24																																	1																																									
48433	484	9			1		1	48402	3											4	48433																																			1																																									
48409	484	10			1	1	1	48407	3		1	48403	3		1	48404	3			2	48409																																			1																																									
48410	484	11			1	1	1	48407	3		1	48403	3		1	48408	3			2	48410																																			1																																									
48411	484	12			1		1	48402	3										2	2	48409				2	48410																														0																																	1002		1080						
48412	484	13			1		1	99902	3											2	4840904																																			0																																									
48413	484	14			1		1	48412	3											4	48413																						1		Q48412	30				3						1																																									
48414	484	15			1		1	48413	3											4	48414																						1		Q48413					3						1																																									
48424	484	16			1		1	48402	3										2	2	48409				2	48410																														0																																									
48425	484	17			1		1	48411	3											18	0		0,24																																	1																																	1002		1080						
48426	484	18			1		1	99902	3											22			48423,48424,48429,48432																				2		1257					3	2	2				1																																									
48427	484	19			1		1	99902	3											22			48425,48426,48430,48433																				2		1258					3	2	2				1																																									
48428	484	20			1		1	99902	3											22			48427,48428,48431,48434																				2		1259					3	2	2				1																																									
48429	484	21			1	1	1	48426	3		1	48427	3		1	48428	3			4	48429																																			1																																									
48430	484	22			1		1	99902	3											4	48430																						1		Q484Zone2	40				3						1																																									
48431	484	23					1	48425	3											7	133002305																						1		Q48413	20				3	2	2	1			1																								19	3	133002305,2							1002		1080						
48432	484	24					1	48431	3											2	48435																						2		1256					3	2	2				1																																	1002		1080						
48415	484	25				2	1	48414	3		1	48432	3							4	48414																						1		Q48414	20				3						1																																	1002		1080						
48416	484	26					1	48415	3											20			133002255	1																			1		Q48414	20				3						1																								19	3	133002255,2							1002		1080						
48417	484	27			1		1	48416	3											18	0		0,24																				1		Q48415Mon2					3						1																																	1002		1080						
48418	484	28					1	48417	3											4	48417																						1		Q484Print1	20				3						1																																	1002		1080						
48419	484	29					1	48418	3											4	48418																						1		Q484Print2	20				3																																							1002		1080						
48420	484	30					1	48419	3											4	48419																						1		Q484Print3	20				3																																							1002		1080						
48421	484	31					1	48420	3											4	48420																						1		Q484Print4	20				3																																							1002		1080						
48422	484	32					1	48421	3											4	48421																						1		Q484Print5	20				3																																							1002		1080						
48423	484	33					1	48422	3											2	48422																						1		Q48422Ambor	15				3				1		1			2	3	102																												1002		1080						
48501	485	1		1			1	48423	3											9	2007	102																					1		Q485Entrance					3	4	2				1																								19	3	133002807,2							1002		1080						
48511	485	2		1			1	48501	3											2	48511														19	2007																				1															14	48501																	1002		1080						
48509	485	3		1			1	48511	3											7	201015003														19	2007																				1															14	48501																	1002		1080						
48512	485	4		1	1		1	48509	3											4	48512														19	2007																				1															14	48501																	1002		1080						
48510	485	5		1	1		1	48512	3											9	2006													2	19	2007			10	3																1			12	8											14	48501																	1002		1080	8					
48502	485	6		1			1	48510	3											4	48502														19	2006							1		Q48503Ambor					1016			1			1															14	48501		20	8														1002		1080	8					
48503	485	7		1			1	48502	3											2	48503														19	2006							2		1002					1016	2	2				1															14	48501		20	8														1002		1080	8					
48504	485	8		1			1	48503	3											4	48504														19	2006							1		Q48504Area					1016	2	1				1															14	48501		20	8														1002		1080	8					
48505	485	9		1			1	48504	3											7	201016005														19	2006																				1															14	48501		20	8														1002		1080	8					
48506	485	10		1			1	48505	3											2	48506														19	2006							2		1002					1016	2	2				1			20	8		17	3	102							14	48501		20	8														1002		1080	8					
48507	485	11					1	48506	3											17	1008																						1		Q48508Ambor					1008						1																								19	3	133002807,1							1002		1080			305			
48508	485	12					1	48507	3											2	48508																						2		1002					1008	2	2		1		1	100236	1																															1002		1080			305			
50001	500	1			1															2	50001																																						23	50001	1																																				
50002	500	2			1															2	50002																																						23	50001	1																																				
50003	500	3			1															2	50003																																						23	50001	1																																				
50004	500	4			1															2	50004																																						23	50001	1																																				
50005	500	5			1															2	50005																																						23	50001	1																																				
50006	500	6			1															2	50006																																						23	50001	1																																				
50007	500	7			1															2	50007																																						23	50001	1																																				
50008	500	8			1															2	50008																																						23	50001	1																																				
50009	500	9			1															2	50009																																						23	50001	1																																				
50010	500	10			1															2	50010																																						23	50001	1																																				
50011	500	11			1															2	50011																																						23	50001	1																																				
50012	500	12			1															24	50001			11																																			30																																						
50101	501	1			1															2	50101																																						23	50101	1																																				
50102	501	2			1															2	50102																																						23	50101	1																																				
50103	501	3			1															2	50103																																						23	50101	1																																				
50104	501	4			1															2	50104																																						23	50101	1																																				
50105	501	5			1															2	50105																																						23	50101	1																																				
50106	501	6			1															2	50106																																						23	50101	1																																				
50107	501	7			1															2	50107																																						23	50101	1																																				
50108	501	8			1															2	50108																																						23	50101	1																																				
50109	501	9			1															2	50109																																						23	50101	1																																				
50110	501	10			1															2	50110																																						23	50101	1																																				
50111	501	11			1															2	50111																																						23	50101	1																																				
50112	501	12			1															2	50112																																						23	50101	1																																				
50113	501	13			1															2	50113																																						23	50101	1																																				
50114	501	14			1															2	50114																																						23	50101	1																																				
50115	501	15			1															2	50115																																						23	50101	1																																				
50116	501	16			1															2	50116																																						23	50101	1																																				
50117	501	17			1															2	50117																																						23	50101	1																																				
50118	501	18			1															2	50118																																						23	50101	1																																				
50119	501	19			1															24	50101			18																																			30																																						
50201	502	1			1															2	50201																																						23	50201	1																																				
50202	502	2			1															2	50202																																						23	50201	1																																				
50203	502	3			1															2	50203																																						23	50201	1																																				
50204	502	4			1															2	50204																																						23	50201	1																																				
50205	502	5			1															2	50205																																						23	50201	1																																				
50206	502	6			1															2	50206																																						23	50201	1																																				
50207	502	7			1															2	50207																																						23	50201	1																																				
50208	502	8			1															2	50208																																						23	50201	1																																				
50209	502	9			1															2	50209																																						23	50201	1																																				
50210	502	10			1															2	50210																																						23	50201	1																																				
50211	502	11			1															2	50211																																						23	50201	1																																				
50212	502	12			1															2	50212																																						23	50201	1																																				
50213	502	13			1															2	50213																																						23	50201	1																																				
50214	502	14			1															24	50201			13																																			30																																						
50301	503	1			1															2	50301																																						23	50301	1																																				
50302	503	2			1															2	50302																																						23	50301	1																																				
50303	503	3			1															2	50303																																						23	50301	1																																				
50304	503	4			1															2	50304																																						23	50301	1																																				
50305	503	5			1															2	50305																																						23	50301	1																																				
50306	503	6			1															2	50306																																						23	50301	1																																				
50307	503	7			1															2	50307																																						23	50301	1																																				
50308	503	8			1															2	50308																																						23	50301	1																																				
50309	503	9			1															2	50309																																						23	50301	1																																				
50310	503	10			1															2	50310																																						23	50301	1																																				
50311	503	11			1															2	50311																																						23	50301	1																																				
50312	503	12			1															2	50312																																						23	50301	1																																				
50313	503	13			1															2	50313																																						23	50301	1																																				
50314	503	14			1															2	50314																																						23	50301	1																																				
50315	503	15			1															2	50315																																						23	50301	1																																				
50316	503	16			1															2	50316																																						23	50301	1																																				
50317	503	17			1															2	50317																																						23	50301	1																																				
50318	503	18			1															2	50318																																						23	50301	1																																				
50319	503	19			1															24	50301			18																																			30																																						
50401	504	1			1															2	50401																																						23	50401	1																																				
50402	504	2			1															2	50402																																						23	50401	1																																				
50403	504	3			1															2	50403																																						23	50401	1																																				
50404	504	4			1															2	50404																																						23	50401	1																																				
50405	504	5			1															2	50405																																						23	50401	1																																				
50406	504	6			1															2	50406																																						23	50401	1																																				
50407	504	7			1															2	50407																																						23	50401	1																																				
50408	504	8			1															2	50408																																						23	50401	1																																				
50409	504	9			1															2	50409																																						23	50401	1																																				
50410	504	10			1															2	50410																																						23	50401	1																																				
50411	504	11			1															2	50411																																						23	50401	1																																				
50412	504	12			1															2	50412																																						23	50401	1																																				
50413	504	13			1															2	50413																																						23	50401	1																																				
50414	504	14			1															2	50414																																						23	50401	1																																				
50415	504	15			1															2	50415																																						23	50401	1																																				
50416	504	16			1															2	50416																																						23	50401	1																																				
50417	504	17			1															2	50417																																						23	50401	1																																				
50418	504	18			1															2	50418																																						23	50401	1																																				
50419	504	19			1															2	50419																																						23	50401	1																																				
50420	504	20			1															2	50420																																						23	50401	1																																				
50421	504	21			1															2	50421																																						23	50401	1																																				
50422	504	22			1															24	50401			21																																			30																																						
50501	505	1			1															2	50501																																						23	50501	1																																				
50502	505	2			1															2	50502																																						23	50501	1																																				
50503	505	3			1															2	50503																																						23	50501	1																																				
50504	505	4			1															2	50504																																						23	50501	1																																				
50505	505	5			1															2	50505																																						23	50501	1																																				
50506	505	6			1															2	50506																																						23	50501	1																																				
50507	505	7			1															2	50507																																						23	50501	1																																				
50508	505	8			1															2	50508																																						23	50501	1																																				
50509	505	9			1															2	50509																																						23	50501	1																																				
50510	505	10			1															2	50510																																						23	50501	1																																				
50511	505	11			1															2	50511																																						23	50501	1																																				
50512	505	12			1															24	50501			11																																			30																																						
51901	519	1			1	1	1	202102	3		1	7214409	3							2	51901																																						23	51901	1																																				
51902	519	2			1	1	1	202102	3		1	7214409	3							2	51902																																						23	51901	1																																				
51903	519	3			1	1	1	202102	3		1	7214409	3							2	51903																																						23	51901	1																																				
51904	519	4			1	1	1	202102	3		1	7214409	3							2	51904																																						23	51901	1																																				
51905	519	5			1	1	1	202102	3		1	7214409	3							2	51905																																						23	51901	1																																				
51906	519	6			1	1	1	202102	3		1	7214409	3							2	51906																																						23	51901	1																																				
51907	519	7			1	1	1	202102	3		1	7214409	3							2	51907																																						23	51901	1																																				
51908	519	8			1	1	1	202102	3		1	7214409	3							2	51908																																						23	51901	1																																				
51909	519	9			1	1	1	202102	3		1	7214409	3							2	51909																																						23	51901	1																																				
51910	519	10			1	1	1	202102	3		1	7214409	3							2	51910																																						23	51901	1																																				
51911	519	11			1	1	1	202102	3		1	7214409	3							2	51911																																						23	51901	1																																				
51912	519	12			1	1	1	202102	3		1	7214409	3							24	51901			11																																			30																																						
52001	520	1			1		44	12042	1											2	52001																																						23	52001	1																																				
52002	520	2			1		44	12042	1											2	52002																																						23	52001	1																																				
52003	520	3			1		44	12042	1											2	52003																																						23	52001	1																																				
52004	520	4			1		44	12042	1											2	52004																																						23	52001	1																																				
52005	520	5			1		44	12042	1											2	52005																																						23	52001	1																																				
52006	520	6			1		44	12042	1											2	52006																																						23	52001	1																																				
52007	520	7			1		44	12042	1											2	52007																																						23	52001	1																																				
52008	520	8			1		44	12042	1											2	52008																																						23	52001	1																																				
52009	520	9			1		44	12042	1											2	52009																																						23	52001	1																																				
52010	520	10			1		44	12042	1											2	52010																																						23	52001	1																																				
52011	520	11			1		44	12042	1											2	52011																																						23	52001	1																																				
52012	520	12			1		44	12042	1											24	52001			11																																			30																																						
50601	506	1			1															2	50601																																						23	50601	1																																				
50602	506	2			1															2	50602																																						23	50601	1																																				
50603	506	3			1															2	50603																																						23	50601	1																																				
50604	506	4			1															2	50604																																						23	50601	1																																				
50605	506	5			1															2	50605																																						23	50601	1																																				
50606	506	6			1															2	50606																																						23	50601	1																																				
50607	506	7			1															2	50607																																						23	50601	1																																				
50608	506	8			1															2	50608																																						23	50601	1																																				
50609	506	9			1															2	50609																																						23	50601	1																																				
50610	506	10			1															2	50610																																						23	50601	1																																				
50611	506	11			1															2	50611																																						23	50601	1																																				
50612	506	12			1															2	50612																																						23	50601	1																																				
50613	506	13			1															2	50613																																						23	50601	1																																				
50614	506	14			1															2	50614																																						23	50601	1																																				
50615	506	15			1															2	50615																																						23	50601	1																																				
50616	506	16			1															2	50616																																						23	50601	1																																				
50617	506	17			1															2	50617																																						23	50601	1																																				
50618	506	18			1															2	50618																																						23	50601	1																																				
50619	506	19			1															2	50619																																						23	50601	1																																				
50620	506	20			1															2	50620																																						23	50601	1																																				
50621	506	21			1															2	50621																																						23	50601	1																																				
50622	506	22			1															2	50622																																						23	50601	1																																				
50623	506	23			1															24	50601			22																																			30																																						
51501	515	1			1		1	202102	3											2	51501																																						23	51501	1																																				
51502	515	2			1		1	202102	3											2	51502																																						23	51501	1																																				
51503	515	3			1		1	202102	3											2	51503																																						23	51501	1																																				
51504	515	4			1		1	202102	3											2	51504																																						23	51501	1																																				
51505	515	5			1		1	202102	3											2	51505																																						23	51501	1																																				
51506	515	6			1		1	202102	3											2	51506																																						23	51501	1																																				
51507	515	7			1		1	202102	3											2	51507																																						23	51501	1																																				
51508	515	8			1		1	202102	3											2	51508																																						23	51501	1																																				
51509	515	9			1		1	202102	3											2	51509																																						23	51501	1																																				
51510	515	10			1		1	202102	3											2	51510																																						23	51501	1																																				
51511	515	11			1		1	202102	3											2	51511																																						23	51501	1																																				
51512	515	12			1		1	202102	3											2	51512																																						23	51501	1																																				
51513	515	13			1		1	202102	3											2	51513																																						23	51501	1																																				
51514	515	14			1		1	202102	3											2	51514																																						23	51501	1																																				
51515	515	15			1		1	202102	3											2	51515																																						23	51501	1																																				
51516	515	16			1		1	202102	3											24	51501			15																																			30																																						
52201	522	1			1		44	12035	1											2	52201																																						23	52201	1																																				
52202	522	2			1		44	12035	1											2	52202																																						23	52201	1																																				
52203	522	3			1		44	12035	1											2	52203																																						23	52201	1																																				
52204	522	4			1		44	12035	1											2	52204																																						23	52201	1																																				
52205	522	5			1		44	12035	1											2	52205																																						23	52201	1																																				
52206	522	6			1		44	12035	1											2	52206																																						23	52201	1																																				
52207	522	7			1		44	12035	1											2	52207																																						23	52201	1																																				
52208	522	8			1		44	12035	1											2	52208																																						23	52201	1																																				
52209	522	9			1		44	12035	1											2	52209																																						23	52201	1																																				
52210	522	10			1		44	12035	1											2	52210																																						23	52201	1																																				
52211	522	11			1		44	12035	1											2	52211																																						23	52201	1																																				
52212	522	12			1		44	12035	1											2	52212																																						23	52201	1																																				
52213	522	13			1		44	12035	1											2	52213																																						23	52201	1																																				
52214	522	14			1		44	12035	1											2	52214																																						23	52201	1																																				
52215	522	15			1		44	12035	1											2	52215																																						23	52201	1																																				
52216	522	16			1		44	12035	1											2	52216																																						23	52201	1																																				
52217	522	17			1		44	12035	1											24	52216			16																																			30																																						
50701	507	1			1															2	50701																																						23	50701	1																																				
50702	507	2			1															2	50702																																						23	50701	1																																				
50703	507	3			1															2	50703																																						23	50701	1																																				
50704	507	4			1															2	50704																																						23	50701	1																																				
50705	507	5			1															2	50705																																						23	50701	1																																				
50706	507	6			1															2	50706																																						23	50701	1																																				
50707	507	7			1															2	50707																																						23	50701	1																																				
50708	507	8			1															2	50708																																						23	50701	1																																				
50709	507	9			1															2	50709																																						23	50701	1																																				
50710	507	10			1															2	50710																																						23	50701	1																																				
50711	507	11			1															2	50711																																						23	50701	1																																				
50712	507	12			1															2	50712																																						23	50701	1																																				
50713	507	13			1															2	50713																																						23	50701	1																																				
50714	507	14			1															2	50714																																						23	50701	1																																				
50715	507	15			1															2	50715																																						23	50701	1																																				
50716	507	16			1															2	50716																																						23	50701	1																																				
50717	507	17			1															2	50717																																						23	50701	1																																				
50718	507	18			1															24	50701			17																																			30																																						
51601	516	1			1		1	202102	3											2	51601																																						23	51601	1																																				
51602	516	2			1		1	202102	3											2	51602																																						23	51601	1																																				
51603	516	3			1		1	202102	3											2	51603																																						23	51601	1																																				
51604	516	4			1		1	202102	3											2	51604																																						23	51601	1																																				
51605	516	5			1		1	202102	3											2	51605																																						23	51601	1																																				
51606	516	6			1		1	202102	3											2	51606																																						23	51601	1																																				
51607	516	7			1		1	202102	3											2	51607																																						23	51601	1																																				
51608	516	8			1		1	202102	3											2	51608																																						23	51601	1																																				
51609	516	9			1		1	202102	3											2	51609																																						23	51601	1																																				
51610	516	10			1		1	202102	3											2	51610																																						23	51601	1																																				
51611	516	11			1		1	202102	3											2	51611																																						23	51601	1																																				
51612	516	12			1		1	202102	3											2	51612																																						23	51601	1																																				
51613	516	13			1		1	202102	3											2	51613																																						23	51601	1																																				
51614	516	14			1		1	202102	3											2	51614																																						23	51601	1																																				
51615	516	15			1		1	202102	3											2	51615																																						23	51601	1																																				
51616	516	16			1		1	202102	3											2	51616																																						23	51601	1																																				
51617	516	17			1		1	202102	3											2	51617																																						23	51601	1																																				
51618	516	18			1		1	202102	3											24	51601			17																																			30																																						
52301	523	1			1		44	12035	1											2	52301																																						23	52301	1																																				
52302	523	2			1		44	12035	1											2	52302																																						23	52301	1																																				
52303	523	3			1		44	12035	1											2	52303																																						23	52301	1																																				
52304	523	4			1		44	12035	1											2	52304																																						23	52301	1																																				
52305	523	5			1		44	12035	1											2	52305																																						23	52301	1																																				
52306	523	6			1		44	12035	1											2	52306																																						23	52301	1																																				
52307	523	7			1		44	12035	1											2	52307																																						23	52301	1																																				
52308	523	8			1		44	12035	1											2	52308																																						23	52301	1																																				
52309	523	9			1		44	12035	1											2	52309																																						23	52301	1																																				
52310	523	10			1		44	12035	1											2	52310																																						23	52301	1																																				
52311	523	11			1		44	12035	1											2	52311																																						23	52301	1																																				
52312	523	12			1		44	12035	1											2	52312																																						23	52301	1																																				
52313	523	13			1		44	12035	1											2	52313																																						23	52301	1																																				
52314	523	14			1		44	12035	1											2	52314																																						23	52301	1																																				
52315	523	15			1		44	12035	1											2	52315																																						23	52301	1																																				
52316	523	16			1		44	12035	1											2	52316																																						23	52301	1																																				
52317	523	17			1		44	12035	1											2	52317																																						23	52301	1																																				
52318	523	18			1		44	12035	1											2	52318																																						23	52301	1																																				
52319	523	19			1		44	12035	1											24	52301			18																																			30																																						
50801	508	1			1															2	50801																																						23	50801	1																																				
50802	508	2			1															2	50802																																						23	50801	1																																				
50803	508	3			1															2	50803																																						23	50801	1																																				
50804	508	4			1															2	50804																																						23	50801	1																																				
50805	508	5			1															2	50805																																						23	50801	1																																				
50806	508	6			1															2	50806																																						23	50801	1																																				
50807	508	7			1															2	50807																																						23	50801	1																																				
50808	508	8			1															2	50808																																						23	50801	1																																				
50809	508	9			1															2	50809																																						23	50801	1																																				
50810	508	10			1															2	50810																																						23	50801	1																																				
50811	508	11			1															2	50811																																						23	50801	1																																				
50812	508	12			1															2	50812																																						23	50801	1																																				
50813	508	13			1															2	50813																																						23	50801	1																																				
50814	508	14			1															2	50814																																						23	50801	1																																				
50815	508	15			1															2	50815																																						23	50801	1																																				
50816	508	16			1															2	50816																																						23	50801	1																																				
50817	508	17			1															2	50817																																						23	50801	1																																				
50818	508	18			1															2	50818																																						23	50801	1																																				
50819	508	19			1															24	50801			18																																			30																																						
51701	517	1			1		1	202102	3											2	51701																																						23	51701	1																																				
51702	517	2			1		1	202102	3											2	51702																																						23	51701	1																																				
51703	517	3			1		1	202102	3											2	51703																																						23	51701	1																																				
51704	517	4			1		1	202102	3											2	51704																																						23	51701	1																																				
51705	517	5			1		1	202102	3											2	51705																																						23	51701	1																																				
51706	517	6			1		1	202102	3											2	51706																																						23	51701	1																																				
51707	517	7			1		1	202102	3											2	51707																																						23	51701	1																																				
51708	517	8			1		1	202102	3											2	51708																																						23	51701	1																																				
51709	517	9			1		1	202102	3											2	51709																																						23	51701	1																																				
51710	517	10			1		1	202102	3											2	51710																																						23	51701	1																																				
51711	517	11			1		1	202102	3											2	51711																																						23	51701	1																																				
51712	517	12			1		1	202102	3											2	51712																																						23	51701	1																																				
51713	517	13			1		1	202102	3											2	51713																																						23	51701	1																																				
51714	517	14			1		1	202102	3											2	51714																																						23	51701	1																																				
51715	517	15			1		1	202102	3											2	51715																																						23	51701	1																																				
51716	517	16			1		1	202102	3											2	51716																																						23	51701	1																																				
51717	517	17			1		1	202102	3											2	51717																																						23	51701	1																																				
51718	517	18			1		1	202102	3											2	51718																																						23	51701	1																																				
51719	517	19			1		1	202102	3											24	51701			18																																			30																																						
52401	524	1			1		44	12035	1											2	52401																																						23	52401	1																																				
52402	524	2			1		44	12035	1											2	52402																																						23	52401	1																																				
52403	524	3			1		44	12035	1											2	52403																																						23	52401	1																																				
52404	524	4			1		44	12035	1											2	52404																																						23	52401	1																																				
52405	524	5			1		44	12035	1											2	52405																																						23	52401	1																																				
52406	524	6			1		44	12035	1											2	52406																																						23	52401	1																																				
52407	524	7			1		44	12035	1											2	52407																																						23	52401	1																																				
52408	524	8			1		44	12035	1											2	52408																																						23	52401	1																																				
52409	524	9			1		44	12035	1											2	52409																																						23	52401	1																																				
52410	524	10			1		44	12035	1											2	52410																																						23	52401	1																																				
52411	524	11			1		44	12035	1											2	52411																																						23	52401	1																																				
52412	524	12			1		44	12035	1											2	52412																																						23	52401	1																																				
52413	524	13			1		44	12035	1											2	52413																																						23	52401	1																																				
52414	524	14			1		44	12035	1											2	52414																																						23	52401	1																																				
52415	524	15			1		44	12035	1											2	52415																																						23	52401	1																																				
52416	524	16			1		44	12035	1											2	52416																																						23	52401	1																																				
52417	524	17			1		44	12035	1											2	52417																																						23	52401	1																																				
52418	524	18			1		44	12035	1											2	52418																																						23	52401	1																																				
52419	524	19			1		44	12035	1											2	52419																																						23	52401	1																																				
52420	524	20			1		44	12035	1											24	52401			19																																			30																																						
50901	509	1			1															2	50901																																						23	50901	1																																				
50902	509	2			1															2	50902																																						23	50901	1																																				
50903	509	3			1															2	50903																																						23	50901	1																																				
50904	509	4			1															2	50904																																						23	50901	1																																				
50905	509	5			1															2	50905																																						23	50901	1																																				
50906	509	6			1															2	50906																																						23	50901	1																																				
50907	509	7			1															2	50907																																						23	50901	1																																				
50908	509	8			1															2	50908																																						23	50901	1																																				
50909	509	9			1															2	50909																																						23	50901	1																																				
50910	509	10			1															2	50910																																						23	50901	1																																				
50911	509	11			1															2	50911																																						23	50901	1																																				
50912	509	12			1															2	50912																																						23	50901	1																																				
50913	509	13			1															2	50913																																						23	50901	1																																				
50914	509	14			1															2	50914																																						23	50901	1																																				
50915	509	15			1															2	50915																																						23	50901	1																																				
50916	509	16			1															2	50916																																						23	50901	1																																				
50917	509	17			1															2	50917																																						23	50901	1																																				
50918	509	18			1															24	50901			17																																			30																																						
51801	518	1			1		1	202102	3											2	51801																																						23	51801	1																																				
51802	518	2			1		1	202102	3											2	51802																																						23	51801	1																																				
51803	518	3			1		1	202102	3											2	51803																																						23	51801	1																																				
51804	518	4			1		1	202102	3											2	51804																																						23	51801	1																																				
51805	518	5			1		1	202102	3											2	51805																																						23	51801	1																																				
51806	518	6			1		1	202102	3											2	51806																																						23	51801	1																																				
51807	518	7			1		1	202102	3											2	51807																																						23	51801	1																																				
51808	518	8			1		1	202102	3											2	51808																																						23	51801	1																																				
51809	518	9			1		1	202102	3											2	51809																																						23	51801	1																																				
51810	518	10			1		1	202102	3											2	51810																																						23	51801	1																																				
51811	518	11			1		1	202102	3											2	51811																																						23	51801	1																																				
51812	518	12			1		1	202102	3											2	51812																																						23	51801	1																																				
51813	518	13			1		1	202102	3											2	51813																																						23	51801	1																																				
51814	518	14			1		1	202102	3											2	51814																																						23	51801	1																																				
51815	518	15			1		1	202102	3											2	51815																																						23	51801	1																																				
51816	518	16			1		1	202102	3											2	51816																																						23	51801	1																																				
51817	518	17			1		1	202102	3											2	51817																																						23	51801	1																																				
51818	518	18			1		1	202102	3											24	51801			17																																			30																																						
52101	521	1			1		44	12042	1											2	52101																																						23	52101	1																																				
52102	521	2			1		44	12042	1											2	52102																																						23	52101	1																																				
52103	521	3			1		44	12042	1											2	52103																																						23	52101	1																																				
52104	521	4			1		44	12042	1											2	52104																																						23	52101	1																																				
52105	521	5			1		44	12042	1											2	52105																																						23	52101	1																																				
52106	521	6			1		44	12042	1											2	52106																																						23	52101	1																																				
52107	521	7			1		44	12042	1											2	52107																																						23	52101	1																																				
52108	521	8			1		44	12042	1											2	52108																																						23	52101	1																																				
52109	521	9			1		44	12042	1											2	52109																																						23	52101	1																																				
52110	521	10			1		44	12042	1											2	52110																																						23	52101	1																																				
52111	521	11			1		44	12042	1											2	52111																																						23	52101	1																																				
52112	521	12			1		44	12042	1											2	52112																																						23	52101	1																																				
52113	521	13			1		44	12042	1											2	52113																																						23	52101	1																																				
52114	521	14			1		44	12042	1											2	52114																																						23	52101	1																																				
52115	521	15			1		44	12042	1											2	52115																																						23	52101	1																																				
52116	521	16			1		44	12042	1											2	52116																																						23	52101	1																																				
52117	521	17			1		44	12042	1											2	52117																																						23	52101	1																																				
52118	521	18			1		44	12042	1											24	52101			17																																			30																																						
99001	990	1					1	99902	3											4	99001																						2		1005					3	2	2		1		1																																									
99002	990	1					1	99902	3											4	99002																						2		1001					3	2	2		1		1																																									
