ID	说明	AbilityName	是否通用	最先加载	图标	group用途
60502	古岩龙蜥-火	Drake_Primo_Rock_SkinController_Fire,Drake_Primo_Rock_Breathe_Fire,Drake_Primo_Rock_ElementExplodeBS_Fire,Drake_Primo_Rock_ScaleShot_Fire,Drake_Primo_Rock_ScaleBurst_Fire,Drake_Primo_Rock_BrokenH_Fire			Skill_E_Ayaka	
60503	古岩龙蜥-冰	Drake_Primo_Rock_SkinController_Ice,Drake_Primo_Rock_Breathe_Ice,Drake_Primo_Rock_ElementExplodeBS_Ice,Drake_Primo_Rock_ScaleShot_Ice,Drake_Primo_Rock_ScaleBurst_Ice,Drake_Primo_Rock_BrokenH_Ice			Skill_E_Ayaka	
60504	古岩龙蜥-电	Drake_Primo_Rock_SkinController_Electric,Drake_Primo_Rock_Breathe_Electric,Drake_Primo_Rock_ElementExplodeBS_Electric,Drake_Primo_Rock_ScaleShot_Electric,Drake_Primo_Rock_ScaleBurst_Electric,Drake_Primo_Rock_BrokenH_Electric			Skill_E_Ayaka	
60505	古岩龙蜥-活动	Drake_Primo_Rock_SkinController_ActivityCycle,Drake_Primo_Rock_ScaleShot_ActivityReplace,Drake_Primo_Rock_BrokenH_ActivityReplace,Drake_Primo_Rock_Breathe_Ice,Drake_Primo_Rock_ElementExplodeBS_Ice,Drake_Primo_Rock_ScaleBurst_Ice,Drake_Primo_Rock_Breathe_Fire,Drake_Primo_Rock_ElementExplodeBS_Fire,Drake_Primo_Rock_ScaleBurst_Fire,Drake_Primo_Rock_Breathe_Water,Drake_Primo_Rock_ElementExplodeBS_Water,Drake_Primo_Rock_ScaleBurst_Water,Drake_Primo_Rock_Breathe_Electric,Drake_Primo_Rock_ElementExplodeBS_Electric,Drake_Primo_Rock_ScaleBurst_Electric			Skill_E_Ayaka	
90401	若陀龙王-水	Monster_Dahaka_ElementType_Water,Monster_Dahaka_Roar_Water,Monster_Dahaka_Switch_Water,Monster_Dahaka_ShaderLightNormal_Lower,Monster_Dahaka_ShaderLightStrong_Lower,Monster_Dahaka_ShaderLightNormal_Upper,Monster_Dahaka_ShaderLightStrong_Upper,Monster_Dahaka_ElementMark_Water		1	Skill_E_Ayaka	
90402	若陀龙王-火	Monster_Dahaka_ElementType_Fire,Monster_Dahaka_Roar_Fire,Monster_Dahaka_Switch_Fire,Monster_Dahaka_ShaderLightNormal_Lower,Monster_Dahaka_ShaderLightStrong_Lower,Monster_Dahaka_ShaderLightNormal_Upper,Monster_Dahaka_ShaderLightStrong_Upper,Monster_Dahaka_ElementMark_Fire		1	Skill_E_Ayaka	
90403	若陀龙王-冰	Monster_Dahaka_ElementType_Ice,Monster_Dahaka_ElementSpring_Ice,Monster_Dahaka_ElementBurst_Ice,Monster_Dahaka_Switch_Ice,Monster_Dahaka_ShaderLightNormal_Lower,Monster_Dahaka_ShaderLightStrong_Lower,Monster_Dahaka_ShaderLightNormal_Upper,Monster_Dahaka_ShaderLightStrong_Upper,Monster_Dahaka_ElementMark_Ice,Monster_Dahaka_SwitchEffect_Back,Monster_Dahaka_SwitchEffect_Howl		1	Skill_E_Ayaka	
90404	若陀龙王-电	Monster_Dahaka_ElementType_Electric,Monster_Dahaka_ElementSpring_Electric,Monster_Dahaka_ElementBurst_Electric,Monster_Dahaka_Switch_Electric,Monster_Dahaka_ShaderLightNormal_Lower,Monster_Dahaka_ShaderLightStrong_Lower,Monster_Dahaka_ShaderLightNormal_Upper,Monster_Dahaka_ShaderLightStrong_Upper,Monster_Dahaka_ElementMark_Electric,Monster_Dahaka_SwitchEffect_Back,Monster_Dahaka_SwitchEffect_Howl		1	Skill_E_Ayaka	
90405	若陀龙王-岩	Monster_Dahaka_StageControl		1	Skill_E_Ayaka	
90406	若陀龙王-岩	Monster_Quest_Dahaka_StageControl		1	Skill_E_Ayaka	
90601	雷电将军标记-S1	Monster_Shougun_TypePole		1	Skill_E_Ayaka	
90602	雷电将军标记-S2	Monster_Shougun_TypeTachi		1	Skill_E_Ayaka	
90603	雷电将军标记-2.5Weekly	Monster_Shougun_Mitakenarukami_ToStage3_WeaklyDungeon		1	Skill_E_Ayaka	
90604	雷电将军标记-2.5Quest1	Monster_Shougun_Mitakenarukami_HpControl_QuestDungeon_01		1	Skill_E_Ayaka	
90605	雷电将军标记-2.5Quest2	Monster_Shougun_Mitakenarukami_HpControl_QuestDungeon_02		1	Skill_E_Ayaka	
90701	散兵剧情标记-S1-1	Monster_Nada_Stage02_QuestFlag01		1	Skill_E_Ayaka	
90702	散兵剧情标记-S2-1	Monster_Nada_Stage02_QuestFlag02		1	Skill_E_Ayaka	
90703	散兵剧情标记-S2-2	Monster_Nada_Stage02_QuestFlag03		1	Skill_E_Ayaka	
90704	散兵个人线标记-S1-1	Monster_Nada_Stage01_WandererQuestFlag		1	Skill_E_Ayaka	
60902	初始衰亡态，技能频率提高	MonsterAffix_Fungus_Raptor_SummonedFungus		1	Skill_E_Ayaka	
