ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	目标组ID	阶段前置成就ID	完成奖励RewardID	完成后清除Watcher
86005	314	1;2;3;4;5;6;7;8;9;10;11;12;13;100;101;102;103;14;16;17;18;200;19;300;20;21;22;23;24;25;29;26;27;28				20		13	86004	806005	
86006	314	1;2;3;4;5;6;7;8;9;10;11;12;13;100;101;102;103;14;16;17;18;200;19;300;20;21;22;23;24;25;29;26;27;28				50		13	86005	806006	
86007	425	00402				1		13		806007	1
86008	425	00401				1		13		806008	1
86009	425	00403				1		13		806009	1
86010	425	60201				1		13		806010	1
86011	425	60202				1		13		806011	1
86012	425	00501				1		13		806012	1
86013	425	90201				1		13		806013	1
86014	425	90301				1	1	21		806014	1
86021	440	29030106				1		21		806021	1
86015	425	60501;60502;60503;60504				1		21		806015	1
86016	425	90401				1		21		806016	1
86017	425	00405				1		21		806017	1
86018	425	50901				1		21		806018	1
86019	425	00406				1		21		806019	1
86020	425	40211				1		21		806020	1
86022	425	00701				1		33		806022	1
86023	425	00404				1		33		806023	1
86024	440	29050104				1		33		806024	1
86025	425	20601				1		33		806025	1
86026	425	90602				1		33		806026	1
86027	425	40104				1		33		806027	1
86028	425	61101				1		33		806028	1
86029	425	60203				1		33		806029	1
87001	1019					1	1	19		806013	
87002	1017					10	1	19		806013	
87003	1017					20	1	19	87002	806013	
87004	1017					30	1	19	87003	806013	
87005	1016					5	1	19		806013	
87006	1016					10	1	19	87005	806013	
87007	1016					20	1	19	87006	806013	
